soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-6042,Shoe Machine Operators and Tenders,3280,9.0,17.44,36280.0,2.2,12.77,13.99,17.14,20.72,22.94,26560.0,29090.0,35650.0,43090.0,47700.0,,
51-6051,"Sewers, Hand",2190,11.0,17.89,37210.0,2.1,13.31,16.03,17.54,19.58,22.87,27680.0,33330.0,36480.0,40720.0,47570.0,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",13920,5.4,21.7,45140.0,1.3,14.38,16.94,20.02,24.14,30.61,29920.0,35230.0,41640.0,50200.0,63670.0,,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,5310,8.1,19.41,40380.0,1.5,14.57,17.16,18.36,21.77,23.12,30300.0,35680.0,38180.0,45280.0,48100.0,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",9000,4.4,19.01,39530.0,0.9,13.78,16.46,18.64,21.74,23.76,28650.0,34230.0,38760.0,45220.0,49420.0,,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",13030,2.8,19.58,40720.0,0.5,14.4,17.5,19.01,21.74,23.62,29960.0,36390.0,39530.0,45220.0,49130.0,,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22020,2.5,19.29,40120.0,0.5,15.29,17.51,18.59,20.65,23.76,31790.0,36420.0,38670.0,42940.0,49420.0,,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12850,4.3,23.36,48580.0,1.0,17.26,18.92,22.29,27.54,30.73,35890.0,39360.0,46350.0,57280.0,63910.0,,
51-6092,Fabric and Apparel Patternmakers,2950,10.0,34.34,71420.0,4.3,16.25,20.49,30.17,45.16,59.39,33790.0,42620.0,62750.0,93930.0,123540.0,,
51-6093,Upholsterers,20140,2.7,22.76,47340.0,0.6,15.24,17.95,22.28,26.24,30.66,31690.0,37340.0,46340.0,54580.0,63770.0,,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",13530,6.1,19.5,40560.0,1.4,15.04,16.5,17.93,21.45,25.35,31270.0,34320.0,37280.0,44620.0,52730.0,,
51-7011,Cabinetmakers and Bench Carpenters,77170,2.1,23.22,48290.0,0.5,17.14,18.67,22.44,26.81,30.64,35650.0,38830.0,46680.0,55760.0,63720.0,,
51-7021,Furniture Finishers,14480,3.4,21.78,45300.0,0.6,15.46,18.11,21.41,23.91,29.34,32160.0,37670.0,44540.0,49730.0,61020.0,,
51-7031,"Model Makers, Wood",280,20.6,30.61,63670.0,7.6,16.73,18.1,27.19,41.9,47.14,34800.0,37660.0,56550.0,87150.0,98050.0,,
51-7032,"Patternmakers, Wood",220,25.7,26.08,54240.0,6.3,18.08,19.79,23.86,28.53,40.28,37600.0,41170.0,49630.0,59350.0,83780.0,,
